,date,speechnumber,speaker,origin_pty,speech_terms,neg_emo,pos_emo,meta_beratung,meta_beschlem,meta_bericht_,meta_fragstun,meta_befragun,meta_aktustnd,meta_regerklr,meta_antwort_,meta_wahl____,meta_eidleist,fctn_afd,fctn_b90,fctn_cxu,fctn_fdp,fctn_lnk,fctn_spd,govt
162,11/11/2009,165,Olaf Scholz,spd,1410,19,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
163,11/11/2009,167,Gï¿½ï¿½nter Kr,cxu,1662,28,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
164,11/11/2009,168,Wolfgang Wieland,b90,628,8,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
165,11/11/2009,170,Gï¿½ï¿½nter Kr,cxu,25,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
166,11/11/2009,172,Raju Sharma,lnk,437,5,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
167,11/11/2009,174,Jerzy Montag,b90,956,12,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
168,11/11/2009,176,Christian Ahrendt,fdp,443,8,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
169,11/11/2009,178,Christine Lambrecht,spd,1413,20,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
170,11/11/2009,180,Michael Grosse-Brï¿½ï¿,cxu,1195,9,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
171,11/11/2009,182,Jens Petermann,lnk,440,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
172,11/11/2009,184,Daniela Raab,cxu,1197,7,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
173,11/11/2009,186,Halina Wawzyniak,lnk,387,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
174,11/11/2009,188,Annette Schavan,cxu,1523,4,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
175,11/11/2009,190,Dagmar Ziegler,spd,1338,9,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
176,11/11/2009,192,Patrick Meinhardt,fdp,935,3,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
177,11/11/2009,194,Petra Sitte,lnk,1409,9,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
178,11/11/2009,196,Krista Sager,b90,1015,15,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
179,11/11/2009,198,Michael Kretschmer,cxu,1074,4,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
180,11/11/2009,200,Ernst Dieter Rossmann,spd,1330,4,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
181,11/11/2009,202,Martin Neumann,fdp,536,5,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
182,11/11/2009,204,Albert Rupprecht,cxu,861,11,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
183,11/11/2009,206,Ursula von der Leyen,cxu,1493,15,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
184,11/11/2009,208,Dagmar Ziegler,spd,1036,11,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
185,11/11/2009,210,Miriam Gruï¿,fdp,979,2,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
186,11/11/2009,212,Jï¿½ï¿½rn Wunder,lnk,1381,29,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
187,11/11/2009,214,Ekin Deligï¿½,b90,1201,13,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
188,11/11/2009,216,Ingrid Fischbach,cxu,1131,12,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
189,11/11/2009,218,Caren Marks,spd,790,18,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
190,11/11/2009,220,Sibylle Laurischk,fdp,605,4,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
191,11/11/2009,222,Johannes Singhammer,cxu,824,13,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
192,11/11/2009,224,Sï¿½ï¿½nke,spd,281,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
193,11/11/2009,226,Otto Fricke,fdp,104,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
194,11/11/2009,227,Sï¿½ï¿½nke,spd,669,3,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
195,11/11/2009,229,Michaela Noll,cxu,900,8,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
196,12/11/2009,2,Philipp Rï¿½ï¿½,fdp,994,7,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
197,12/11/2009,4,Elke Ferner,spd,2045,26,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
